triangle,count
USDT->EUR->ETH,6767
USDT->ETH->EUR,6765
USDT->BTC->EUR,6472
USDT->EUR->BTC,6467
USDT->BTC->CRO,4205
USDT->CRO->BTC,4205
USDT->BTC->XMR,3631
USDT->XMR->BTC,3631
USDT->BTC->ZEC,3137
USDT->ZEC->BTC,3137
USDT->AAVE->BTC,2934
USDT->BTC->AAVE,2934
USDT->XMR->ETH,2832
USDT->ETH->XMR,2830
USDT->BCH->BTC,2730
USDT->BTC->TRAC,2715
USDT->TRAC->BTC,2715
USDT->BTC->TEL,2706
USDT->TEL->BTC,2706
USDT->DASH->BTC,2684
USDT->BTC->BCH,2639
USDT->DAG->ETH,2553
USDT->ETH->DAG,2552
USDT->BTC->WAN,2538
USDT->WAN->BTC,2538
USDT->BTC->XRP,2493
USDT->XRP->BTC,2493
USDT->BTC->ADA,2347
USDT->ADA->BTC,2344
USDT->BTC->LINK,2303
USDT->LINK->BTC,2303
USDT->TWT->BTC,2268
USDT->BTC->HBAR,2235
USDT->HBAR->BTC,2235
USDT->BNB->BTC,2221
USDT->BTC->BNB,2221
USDT->FET->BTC,2190
USDT->BTC->TWT,2189
USDT->BTC->FET,2181
USDT->BTC->DASH,2180
USDT->A->BTC,2102
USDT->BTC->A,2102
USDT->BTC->ETH,2100
USDT->ETH->BTC,2097
USDT->AVAX->BTC,2049
USDT->BTC->AVAX,2049
USDT->TRAC->ETH,2038
USDT->ETH->TRAC,2033
USDT->BTC->TRX,2024
USDT->TRX->BTC,2024
USDT->BTC->DOT,2007
USDT->DOT->BTC,2007
USDT->BTC->XLM,2004
USDT->XLM->BTC,2004
USDT->ATOM->BTC,1975
USDT->BTC->ATOM,1975
USDT->BTC->BRL,1948
USDT->BTC->KLV,1934
USDT->ETH->ONT,1934
USDT->ONT->ETH,1931
USDT->BTC->DOGE,1919
USDT->DOGE->BTC,1919
USDT->SNX->BTC,1910
USDT->BTC->SNX,1909
USDT->KLV->BTC,1906
USDT->BTC->LTC,1882
USDT->LTC->BTC,1882
USDT->TEL->ETH,1863
USDT->ETH->TEL,1862
USDT->ETC->BTC,1848
USDT->ONT->BTC,1847
USDT->BTC->KAS,1845
USDT->KAS->BTC,1845
USDT->BTC->ETC,1840
USDT->LYX->ETH,1786
USDT->ETH->LYX,1784
USDT->BDX->BTC,1779
USDT->BTC->POND,1779
USDT->POND->BTC,1779
USDT->BTC->NEO,1771
USDT->BTC->NEAR,1768
USDT->NEAR->BTC,1768
USDT->CHZ->BTC,1753
USDT->BTC->INJ,1734
USDT->INJ->BTC,1734
USDT->BTC->AVA,1706
USDT->BTC->XDC,1693
USDT->XDC->BTC,1693
USDT->BTC->CHZ,1691
USDT->BTC->ICP,1688
USDT->ICP->BTC,1688
USDT->DASH->ETH,1681
USDT->ETH->DASH,1680
USDT->NEO->BTC,1652
USDT->FET->ETH,1647
USDT->ETH->FET,1645
USDT->BTC->EWT,1629
USDT->EWT->BTC,1629
USDT->XRP->ETH,1627
USDT->ETH->XRP,1625
USDT->BTC->KNC,1621
USDT->KNC->BTC,1621
USDT->BTC->ALGO,1601
USDT->BTC->RUNE,1582
USDT->RUNE->BTC,1582
USDT->BCHSV->BTC,1578
USDT->BTC->BCHSV,1578
USDT->CKB->BTC,1578
USDT->BTC->VET,1569
USDT->ERG->BTC,1557
USDT->BTC->IOTX,1549
USDT->IOTX->BTC,1549
USDT->BTC->RSR,1538
USDT->RSR->BTC,1538
USDT->BTC->XTZ,1535
USDT->XTZ->BTC,1535
USDT->RLC->BTC,1533
USDT->BTC->STX,1531
USDT->STX->BTC,1531
USDT->BTC->COTI,1527
USDT->BTC->RLC,1527
USDT->BTC->IOTA,1521
USDT->BTC->PAXG,1512
USDT->PAXG->BTC,1512
USDT->COTI->BTC,1506
USDT->BTC->EGLD,1505
USDT->EGLD->BTC,1505
USDT->AR->BTC,1501
USDT->BTC->AR,1501
USDT->ONE->BTC,1497
USDT->VET->BTC,1497
USDT->BTC->OGN,1487
USDT->OGN->BTC,1487
USDT->SCRT->BTC,1475
USDT->BTC->WAVES,1474
USDT->WAVES->BTC,1474
USDT->BTC->ONE,1472
USDT->BTC->KCS,1467
USDT->BTC->WIN,1467
USDT->KCS->BTC,1467
USDT->WIN->BTC,1467
USDT->BTC->SCRT,1461
USDT->MANTRA->BTC,1445
USDT->BTC->MANTRA,1438
USDT->BTC->WBTC,1430
USDT->WBTC->BTC,1430
USDT->BTC->KRL,1428
USDT->BTC->XYO,1428
USDT->KRL->BTC,1428
USDT->XYO->BTC,1428
USDT->BTC->ANKR,1407
USDT->BTC->CKB,1397
USDT->ANKR->BTC,1346
USDT->IOTA->BTC,1312
USDT->BTC->ONT,1248
USDT->A->ETH,1195
USDT->ETH->A,1195
USDT->ENJ->ETH,1192
USDT->BTC->BDX,1189
USDT->XLM->ETH,1153
USDT->ETH->XLM,1152
USDT->TRX->ETH,1091
USDT->ETH->TRX,1088
USDT->ETC->ETH,1077
USDT->ETH->ETC,1075
USDT->KLV->TRX,1065
USDT->TRX->KLV,1064
USDT->KCS->ADA,1035
USDT->KCS->XRP,1035
USDT->XRP->KCS,1035
USDT->KCS->SOL,1030
USDT->SOL->KCS,1030
USDT->BRL->ETH,1013
USDT->ETH->BRL,1012
USDT->LTC->ETH,993
USDT->ETH->LTC,990
USDT->ATOM->ETH,942
USDT->ETH->ATOM,942
USDT->KCS->SUI,895
USDT->SUI->KCS,895
USDT->SNX->ETH,857
USDT->ETH->SNX,854
USDT->DOGE->SHIB,845
USDT->SHIB->DOGE,845
USDT->ETH->XDC,780
USDT->XDC->ETH,780
USDT->ETH->AVA,775
USDT->AVA->ETH,767
USDT->CSPR->ETH,767
USDT->ETH->CSPR,766
USDT->ALGO->ETH,734
USDT->ETH->ALGO,734
USDT->ETH->ENJ,732
USDT->ZIL->ETH,696
USDT->BCHSV->ETH,675
USDT->ETH->BCHSV,674
USDT->ETH->ZIL,664
USDT->ALGO->BTC,661
USDT->ADA->KCS,635
USDT->KNC->ETH,634
USDT->ETH->KNC,633
USDT->IOTX->ETH,631
USDT->ETH->IOTX,630
USDT->KCS->PEPE,625
USDT->PEPE->KCS,625
USDT->TRX->NFT,623
USDT->KCS->BNB,619
USDT->ETH->STORJ,618
USDT->STORJ->ETH,618
USDT->NFT->TRX,598
USDT->MANA->ETH,581
USDT->ETH->MANA,580
USDT->VET->ETH,568
USDT->ETH->VET,567
USDT->IOST->ETH,557
USDT->ETH->IOST,556
USDT->KCS->ETH,552
USDT->XYO->ETH,529
USDT->ETH->XYO,528
USDT->AVA->BTC,520
USDT->TRX->WIN,509
USDT->WIN->TRX,509
USDT->ICX->ETH,500
USDT->ETH->ICX,499
USDT->DOGE->KCS,463
USDT->KCS->DOGE,463
USDT->HYPE->KCS,413
USDT->KCS->HYPE,413
USDT->KCS->LTC,408
USDT->DOT->KCS,405
USDT->KCS->DOT,405
USDT->LTC->KCS,32
USDT->ETH->KCS,12
